D 2023-04-16 17:55:07,667| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58276/session/bd8e5adf43a93b188c7ae8f0e6a42b55/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:55:07,679| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58276 "POST /session/bd8e5adf43a93b188c7ae8f0e6a42b55/element HTTP/1.1" 404 1603
D 2023-04-16 17:55:07,680| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:55:51,105| DEBUG    | [service.py:service:_start_process:204] - Started executable: `chromedriver` in a child process with pid: 20311
D 2023-04-16 17:55:51,617| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58352/session {"capabilities": {"firstMatch": [{}], "alwaysMatch": {"browserName": "chrome", "pageLoadStrategy": "normal", "goog:chromeOptions": {"extensions": [], "args": []}}}}
D 2023-04-16 17:55:51,621| DEBUG    | [connectionpool.py:connectionpool:_new_conn:227] - Starting new HTTP connection (1): localhost:58352
D 2023-04-16 17:55:58,386| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58352 "POST /session HTTP/1.1" 200 868
D 2023-04-16 17:55:58,390| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:55:58,409| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58352/session/5cfa7bebc2fc1057b427109f181636e9/url {"url": "https://sgzzlb.lingxigames.com/website/"}
D 2023-04-16 17:56:00,944| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58352 "POST /session/5cfa7bebc2fc1057b427109f181636e9/url HTTP/1.1" 200 14
D 2023-04-16 17:56:00,944| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:56:00,946| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58352/session/5cfa7bebc2fc1057b427109f181636e9/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:56:02,042| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58352 "POST /session/5cfa7bebc2fc1057b427109f181636e9/element HTTP/1.1" 200 88
D 2023-04-16 17:56:02,043| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:56:02,043| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58352/session/5cfa7bebc2fc1057b427109f181636e9/element/5f47d691-358f-4574-ab82-7d5ef020359a/clear {"id": "5f47d691-358f-4574-ab82-7d5ef020359a"}
